Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
4CB,04CD,4CB,0000,000,0000,000,0000,0000,004,0100
4CB,04CD,4CC,04CD,4CB,04CD,000,04CB,0000,004,0100
4CC,0000,4CD,0000,4CC,0000,000,04CC,0000,004,0100
4CD,0003,4CE,0003,4CD,0003,000,04CD,0000,004,0100
4CE,0200,4CF,0200,4CE,0200,000,04CE,0000,004,0100
4CF,EEFD,4D0,EEFD,4CD,0000,000,FFFD,0000,004,0100,4CD,0000
4D0,AF03,4D1,AF03,4D0,0003,000,0003,0003,000,0000
4D1,EEFA,4D2,EEFA,4CC,0003,000,FFFA,0003,000,0000,4CC,0003
4D2,4EF7,4D3,4EF7,4CA,04DC,000,FFF7,04DF,000,0000
4D3,EEF7,4D4,EEF7,4CB,04DF,000,FFF7,04DF,000,0000,4CB,04DF
4D4,ABF6,4D5,ABF6,4DE,34CC,000,FFF6,34CC,000,0000,4CB,04DE
4D5,F003,4D6,F003,4D5,F003,000,04D5,34CC,000,0000
4D6,AEF6,4D7,AEF6,4CD,0000,000,FFF6,0000,004,0100
4D7,0700,4D8,0700,4D7,0700,000,04D7,0001,000,0000
4D8,EEF4,4D9,EEF4,4CD,0001,000,FFF4,0001,000,0000,4CD,0001
4D9,84CC,4DA,84CC,4CC,0002,000,0001,0001,000,0000,4CC,0002
4DA,CEF9,4D4,CEF9,4DA,04D4,000,FFF9,0001,000,0000
4D4,ABF6,4D5,ABF6,4DD,0000,000,FFF6,0000,004,0100,4CB,04DD
4D5,F003,4D9,F003,4D5,F003,000,0003,0000,004,0100
4D9,84CC,4DA,84CC,4CC,0001,000,0000,0000,004,0100,4CC,0001
4DA,CEF9,4D4,CEF9,4DA,04D4,000,FFF9,0000,004,0100
4D4,ABF6,4D5,ABF6,4DC,0000,000,FFF6,0000,004,0100,4CB,04DC
4D5,F003,4D9,F003,4D5,F003,000,0003,0000,004,0100
4D9,84CC,4DB,84CC,4CC,0000,000,FFFF,0000,004,0100,4CC,0000
4DB,0100,4DC,0100,4DB,0100,000,04DB,0000,004,0100
